study_id,authors,year,title,venue,doi,cloud_provider,ml_technique,finops_phase,finops_capability,evaluation_metric,metric_value,cost_reduction_pct,business_metric,dataset,production_vs_simulation,quality_score,notes
S001,Nawrocki & Smendowski,2025,A Survey of Cloud Resource Consumption Optimization Methods,J. Grid Computing,10.1007/s10723-024-09792-0,Multi,Survey,All,All,N/A,N/A,,N/A,N/A,Survey,9,Comprehensive survey - key differentiation target
S002,Lim et al.,2021,Temporal Fusion Transformers for Interpretable Multi-horizon Forecasting,Int. J. Forecasting,10.1016/j.ijforecast.2021.03.012,N/A,TFT,Inform,Forecasting,Improvement over baseline,36-69%,,N/A,Multiple benchmarks,Both,10,State-of-art forecasting
S003,Chen et al.,2023,FrugalGPT: How to Use Large Language Models While Reducing Cost,arXiv,arXiv:2305.05176,Multi,LLM Cascade,Optimize,LLM Cost Optimization,Cost reduction,Up to 98%,98%,Dollar savings,GPT API,Production,9,Key LLM cost paper
S004,Ong et al.,2024,RouteLLM: Learning to Route LLMs with Preference Data,arXiv,arXiv:2406.18665,Multi,LLM Routing,Optimize,LLM Cost Optimization,Cost reduction,2x+,50%+,Dollar savings,Human preferences,Production,8,Learned routing
S005,Tuli et al.,2023,CILP: Co-simulation Imitation Learner for Scheduling,IEEE TNSM,10.1109/tnsm.2023.3268250,Multi,Imitation Learning,Operate,Automation,Cost reduction,44%,44%,Percentage,CloudSim,Simulation,8,Highest cost savings for scheduling
S006,Xiao & Hu,2022,DScaler: Microservice Autoscaler with DRL,APNOMS,10.23919/apnoms56106.2022.9919994,K8s,DQN,Operate,Automation,Resource reduction,19.9%,19.9%,Percentage,Production traces,Both,7,Kubernetes-specific
S007,Vadrevu et al.,2025,Storage Cost Prediction using XGBoost,IJRASET,10.22214/ijraset.2025.67049,AWS,XGBoost,Inform,Forecasting,R-squared,98.74%,,N/A,AWS S3,Simulation,7,Best storage prediction
S008,Deochake,2024,ABACUS: A FinOps Service for Cloud Cost Optimization,SSRN,10.2139/ssrn.5071987,Multi,LLM + ML,All,FinOps Platform,Multiple,Various,,Multiple,Multi-cloud,Both,7,Full FinOps platform
S009,Vo et al.,2025,FinOps Agent for IT Infrastructure Cost Optimization,arXiv,arXiv:2510.25914,Multi,LLM Agent,All,FinOps Agent,Recommendation accuracy,78%,,N/A,IBM internal,Production,8,IBM FinOps agent
S010,Jain & Rekha,2024,ML for Anomaly Detection in Cloud Cost Management,IJSREM,10.55041/ijsrem35775,Multi,Multiple,Inform,Anomaly Detection,Accuracy,99.5%,,N/A,Synthetic,Simulation,6,Anomaly review
